species,n,avg_ind_bmass,sd,spp_biomass
cvig,1473,0.1486,0.04490434277439098,218.88780000000003
alec,1115,0.0088,0.0010697871023920811,9.812000000000001
pign,958,0.2426,0.05342257414774609,232.41080000000002
aaeg,585,0.0011333333333333334,NA,0.663
dcar,556,0.5898,0.19325120587315509,327.92879999999997
open,207,0.0022666666666666664,1.1547005383792545e-4,0.46919999999999995
pvin,133,0.22793333333333332,0.04641346274314731,30.315133333333332
mbis,83,0.0254,0.009225740388407086,2.1082
bpro,47,0.040666666666666663,0.013058476539160667,1.911333333333333
ocon,2,0.012533333333333334,0.0026149751888106393,0.025066666666666668
