effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.0474499999999844,2.226022042684546,0.470547901105587
fixed,NA,sp_codealec,0.5718125000000128,1.9485732024587719,0.29345189561186696
fixed,NA,sp_codebpro,0.07802083333334571,1.9485732024587714,0.04003998065604954
fixed,NA,sp_codecvig,13.639050000000013,1.9485732024587719,6.999506091323552
fixed,NA,sp_codedcar,20.45411250000001,1.9485732024587719,10.496968999773967
fixed,NA,sp_codembis,0.09032500000001331,1.9485732024587723,0.04635442994188688
fixed,NA,sp_codeocon,-0.039870833333321455,1.9485732024587719,-0.020461552731512043
fixed,NA,sp_codeopen,-0.012112499999987262,1.9485732024587719,-0.006216086716528444
fixed,NA,sp_codepign,14.484237500000011,1.9485732024587719,7.433252947194049
fixed,NA,sp_codepvin,1.8532583333333459,1.9485732024587719,0.951084789113822
fixed,NA,patchConnected,-0.7336500000000004,1.2323859014676257,-0.5953086603200427
fixed,NA,patchRectangle,-2.329571666666666,1.232385901467626,-1.890293993052356
fixed,NA,patchWinged,-0.9608283333333328,1.232385901467626,-0.7796489169416008
ran_pars,block,sd__(Intercept),3.154149484755636,NA,NA
ran_pars,Residual,sd__Observation,5.511397300387938,NA,NA
