effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),5.896210504321548,0.29390286177458325,20.061766220037036,1.5932321991542015e-89
fixed,NA,patch_typeConnected,-0.12515148202658138,0.13909281653794092,-0.8997695577790195,0.36824289796230664
fixed,NA,patch_typeRectangle,-0.5275364393001858,0.10724571381991149,-4.918951261642329,8.7009128998543e-7
fixed,NA,patch_typeWinged,-0.3030233206509877,0.07235893749703078,-4.1877801296270025,2.816962177809943e-5
ran_pars,block,sd__(Intercept),0.5850449796877477,NA,NA,NA
ran_pars,block,cor__(Intercept).patch_typeConnected,-0.9317643506437027,NA,NA,NA
ran_pars,block,cor__(Intercept).patch_typeRectangle,-0.7439744509751297,NA,NA,NA
ran_pars,block,cor__(Intercept).patch_typeWinged,-0.9673578020316234,NA,NA,NA
ran_pars,block,sd__patch_typeConnected,0.26613390769056844,NA,NA,NA
ran_pars,block,cor__patch_typeConnected.patch_typeRectangle,0.8646757543617806,NA,NA,NA
ran_pars,block,cor__patch_typeConnected.patch_typeWinged,0.8160196366057757,NA,NA,NA
ran_pars,block,sd__patch_typeRectangle,0.19358712269397452,NA,NA,NA
ran_pars,block,cor__patch_typeRectangle.patch_typeWinged,0.6534893232648933,NA,NA,NA
ran_pars,block,sd__patch_typeWinged,0.11648356339243679,NA,NA,NA
